,dataset,conf. 1,conf. 2,conf. 3,conf. 4,conf. 5,conf. 6,conf. 7,conf. 8,conf. 9,conf. 10
0,PCA_075_HOG_256_32x32.csv,"criterion=gini, max_depth=10","criterion=gini, max_depth=8","criterion=log_loss, max_depth=9","criterion=entropy, max_depth=9","criterion=entropy, max_depth=6","criterion=log_loss, max_depth=6","criterion=gini, max_depth=4","criterion=entropy, max_depth=8","criterion=log_loss, max_depth=8","criterion=log_loss, max_depth=7"
1,PCA_075_HOG_256_32x32.csv,"criterion=gini, max_depth=10","criterion=gini, max_depth=8","criterion=log_loss, max_depth=9","criterion=entropy, max_depth=9","criterion=entropy, max_depth=6","criterion=log_loss, max_depth=6","criterion=gini, max_depth=4","criterion=entropy, max_depth=8","criterion=log_loss, max_depth=8","criterion=log_loss, max_depth=7"
2,PCA_075_HOG_128_16x16.csv,"criterion=gini, max_depth=3","criterion=gini, max_depth=2","criterion=log_loss, max_depth=3","criterion=entropy, max_depth=3","criterion=gini, max_depth=4","criterion=gini, max_depth=5","criterion=gini, max_depth=14","criterion=entropy, max_depth=2","criterion=log_loss, max_depth=2","criterion=gini, max_depth=6"
3,PCA_090_HOG_256_32x32.csv,"criterion=gini, max_depth=4","criterion=entropy, max_depth=2","criterion=log_loss, max_depth=2","criterion=gini, max_depth=5","criterion=entropy, max_depth=8","criterion=log_loss, max_depth=8","criterion=gini, max_depth=6","criterion=entropy, max_depth=3","criterion=log_loss, max_depth=3","criterion=gini, max_depth=2"
4,PCA_090_HOG_256_32x32.csv,"criterion=gini, max_depth=4","criterion=entropy, max_depth=2","criterion=log_loss, max_depth=2","criterion=gini, max_depth=5","criterion=entropy, max_depth=8","criterion=log_loss, max_depth=8","criterion=gini, max_depth=6","criterion=entropy, max_depth=3","criterion=log_loss, max_depth=3","criterion=gini, max_depth=2"
5,HOG_256_32x32.csv,"criterion=gini, max_depth=10","criterion=gini, max_depth=12","criterion=gini, max_depth=9","criterion=gini, max_depth=2","criterion=gini, max_depth=5","criterion=gini, max_depth=14","criterion=gini, max_depth=13","criterion=gini, max_depth=15","criterion=gini, max_depth=11","criterion=gini, max_depth=6"
6,PCA_090_HOG_128_16x16.csv,"criterion=gini, max_depth=3","criterion=entropy, max_depth=3","criterion=log_loss, max_depth=3","criterion=gini, max_depth=2","criterion=entropy, max_depth=2","criterion=log_loss, max_depth=2","criterion=gini, max_depth=5","criterion=entropy, max_depth=4","criterion=log_loss, max_depth=4","criterion=gini, max_depth=6"
7,PCA_075_HOG_128_32x32.csv,"criterion=log_loss, max_depth=4","criterion=entropy, max_depth=4","criterion=gini, max_depth=14","criterion=gini, max_depth=13","criterion=gini, max_depth=12","criterion=entropy, max_depth=7","criterion=log_loss, max_depth=7","criterion=gini, max_depth=11","criterion=gini, max_depth=15","criterion=gini, max_depth=9"
8,HOG_256_32x32.csv,"criterion=gini, max_depth=10","criterion=gini, max_depth=12","criterion=gini, max_depth=9","criterion=gini, max_depth=2","criterion=gini, max_depth=5","criterion=gini, max_depth=14","criterion=gini, max_depth=13","criterion=gini, max_depth=15","criterion=gini, max_depth=11","criterion=gini, max_depth=6"
9,PCA_075_HOG_128_16x16.csv,"criterion=gini, max_depth=3","criterion=gini, max_depth=2","criterion=log_loss, max_depth=3","criterion=entropy, max_depth=3","criterion=gini, max_depth=4","criterion=gini, max_depth=5","criterion=gini, max_depth=14","criterion=entropy, max_depth=2","criterion=log_loss, max_depth=2","criterion=gini, max_depth=6"
10,PCA_090_HOG_128_32x32.csv,"criterion=log_loss, max_depth=7","criterion=entropy, max_depth=7","criterion=entropy, max_depth=11","criterion=log_loss, max_depth=11","criterion=log_loss, max_depth=4","criterion=entropy, max_depth=4","criterion=entropy, max_depth=5","criterion=log_loss, max_depth=5","criterion=log_loss, max_depth=15","criterion=entropy, max_depth=15"
11,PCA_075_HOG_128_32x32.csv,"criterion=log_loss, max_depth=4","criterion=entropy, max_depth=4","criterion=gini, max_depth=14","criterion=gini, max_depth=13","criterion=gini, max_depth=12","criterion=entropy, max_depth=7","criterion=log_loss, max_depth=7","criterion=gini, max_depth=11","criterion=gini, max_depth=15","criterion=gini, max_depth=9"
