dataset,split,conf 0,conf 1,conf 2,conf 3,conf 4,conf 5,conf 6,conf 7,conf 8,conf 9
PCA_075_HOG_256_32x32.csv,10-fold CV,0.7258782423779306,0.7196776699580723,0.6937620765838173,0.7651097540731273,0.7274996964185857,0.7122913794145751,0.6719893586032188,0.7285817598582791,0.7074778613764069,0.720775008570736
PCA_075_HOG_256_32x32.csv,70/30,0.7347012700718956,0.6843917851500789,0.7000300030003,0.7448660948713461,0.6649581239530988,0.6746341463414635,0.6950228755718894,0.7000300030003,0.6850236303168213,0.6799039903990399
PCA_075_HOG_128_16x16.csv,10-fold CV,0.6981332464519171,0.6759819793981758,0.6930525185252115,0.6910119556385157,0.7041541478530462,0.67315603194721,0.6686932436119591,0.7056667807709519,0.6941923443969057,0.6842986760739856
PCA_075_HOG_128_16x16.csv,70/30,0.6746341463414635,0.6598979897989798,0.6889122807017545,0.64989498949895,0.7,0.66,0.7044314284999124,0.7,0.6749593739843496,0.6897519007603041
PCA_090_HOG_256_32x32.csv,10-fold CV,0.6858578458460024,0.7071372766895625,0.7055273743621353,0.718078341534176,0.7265715700432794,0.703298989443059,0.716309204829034,0.7167481234639634,0.6994111379805739,0.6904099516479444
PCA_090_HOG_256_32x32.csv,70/30,0.6216158143532445,0.6980945659844743,0.6746336331070418,0.7046674515894686,0.7048449350454306,0.6483091787439613,0.7249656035021889,0.6895338345864661,0.6897516025641025,0.6692051384985949
HOG_256_32x32.csv,10-fold CV,0.7016575410830375,0.4788104949954213,0.7236812994050175,0.5797688390764321,0.7013494562564357,0.34284000511048013,0.5455151036824356,0.7128707152952883,0.41553776594760655,0.6984920025073389
HOG_256_32x32.csv,70/30,0.6848344221671547,0.5180676410126439,0.7447125428993712,0.6746336331070418,0.6899069162246022,0.34450331125827816,0.5207245543415756,0.67,0.3222818791946309,0.6648239092888789
PCA_090_HOG_128_16x16.csv,10-fold CV,0.679848756359925,0.7017608903970266,0.7014740510055182,0.714752845167428,0.7016879441005902,0.6898988739305137,0.6951842489232469,0.689707240230843,0.6855255801981136,0.6874466386675657
PCA_090_HOG_128_16x16.csv,70/30,0.5851178172798677,0.59004100410041,0.7046674515894686,0.66,0.6846449059345173,0.6450266256656417,0.7148501914845685,0.6198859885988598,0.6546110874520906,0.6238984710401446
PCA_075_HOG_128_32x32.csv,10-fold CV,0.7199204233601575,0.6918625888495559,0.6980931490561709,0.7121779269179531,0.701340259070904,0.6764525347316053,0.7028336579286971,0.6882246670080162,0.6818797386844395,0.6960979987989895
PCA_075_HOG_128_32x32.csv,70/30,0.72002800280028,0.7046679174484052,0.7,0.7150213755343883,0.7193255720594138,0.674959349593496,0.7150213798104573,0.7248554479237066,0.7150213798104573,0.7195789473684209
PCA_090_HOG_128_32x32.csv,10-fold CV,0.739242680281279,0.7333794330468039,0.7067493091410382,0.7413248507616589,0.718285456920599,0.7340747367652596,0.711846015062471,0.7313395566087152,0.700182312479508,0.7326273068437886
PCA_090_HOG_128_32x32.csv,70/30,0.6849606240156004,0.7195789473684209,0.71,0.7241922120961061,0.7150213798104573,0.7548712172411203,0.714449710373881,0.6948396786062926,0.7150213798104573,0.744507635597683
HOG_128_16x16.csv,10-fold CV,0.687457626821445,0.41920659590541637,0.71618145412124,0.580601962952157,0.6901654428206005,0.46247532288524146,0.512644679874682,0.6938922780033419,0.37528707398458866,0.6837359285267817
HOG_128_16x16.csv,70/30,0.6850236255906397,0.3222818791946309,0.7299189270343309,0.6850236255906397,0.6849606003752345,0.6491586538461539,0.4944307222124803,0.6850236255906397,0.3222818791946309,0.67003300330033
HOG_128_32x32.csv,10-fold CV,0.7210065787776044,0.6530050954544188,0.6167850553962425,0.7207491911853225,0.7271846534049222,0.637704329160892,0.35544678418907516,0.7339672881623067,0.6604226705048555,0.7160009980718848
HOG_128_32x32.csv,70/30,0.6997596153846155,0.7219553596311215,0.6398919891989199,0.6980945659844743,0.71,0.7272942605526876,0.3222818791946309,0.7195789473684209,0.71,0.7146787244169442
LBP_256_6R.csv,10-fold CV,0.3688183859441229,0.6047833082482457,0.3522940790444463,0.621255616479482,0.4817011699624114,0.5889787934008289,0.3235995467229621,0.5237308424563268,0.6168788536777087,0.5986616813249871
LBP_256_6R.csv,70/30,0.34450331125827816,0.5960076620627079,0.3222818791946309,0.6194285714285713,0.5578803693295865,0.6068484848484849,0.34450331125827816,0.5641615979574979,0.5896251169139766,0.5847820759670926
PCA_075_HOG_256_16x16.csv,10-fold CV,0.6240884781779725,0.6636701042123843,0.6923547009632639,0.6720885812818472,0.7084705308930296,0.673474774518133,0.6711028625392543,0.7050005297039231,0.657463263481795,0.6586206062426039
PCA_075_HOG_256_16x16.csv,70/30,0.5998799879987999,0.6450266309919732,0.6445998146246148,0.6250281313295492,0.70930148534725,0.65,0.67,0.6400360036003601,0.6450266309919732,0.61
LBP_256_12R.csv,10-fold CV,0.44941144383778325,0.6166799841860344,0.35229132806227537,0.5989340520193249,0.5572932361226721,0.6028485093563573,0.3172886924111279,0.5797507042924167,0.5939198590554998,0.6051595355004097
LBP_256_12R.csv,70/30,0.34450331125827816,0.5658879581956505,0.3222818791946309,0.6234443746071654,0.5741793926628049,0.5980676328502416,0.3222818791946309,0.5800420042004201,0.59004100410041,0.5950303818359132
