hidden_layer_sizes,solver,learning_rate_init,max_iter,activation,f1_weighted
18,adam,0.0001,1000,relu,0.6692051384985949
18,adam,0.0001,1500,relu,0.654818652849741
18,adam,0.0001,2000,relu,0.6850236255906397
18,adam,0.0001,2500,relu,0.6799039135221698
18,adam,0.0001,3000,relu,0.65
18,adam,0.001,1000,relu,0.6792292252107586
18,adam,0.001,1500,relu,0.6849606003752345
18,adam,0.001,2000,relu,0.7076565656565657
18,adam,0.001,2500,relu,0.6949618511569731
18,adam,0.001,3000,relu,0.6846449059345173
18,adam,0.01,1000,relu,0.674959349593496
18,adam,0.01,1500,relu,0.6550258808231851
18,adam,0.01,2000,relu,0.6449556238905972
18,adam,0.01,2500,relu,0.7049631019387117
18,adam,0.01,3000,relu,0.684834587782251
18,adam,0.1,1000,relu,0.664353168334211
18,adam,0.1,1500,relu,0.7050221255531389
18,adam,0.1,2000,relu,0.6443157868388777
18,adam,0.1,2500,relu,0.7246904315196997
18,adam,0.1,3000,relu,0.6850236303168213
18,sgd,0.0001,1000,relu,0.6895345811230108
18,sgd,0.0001,1500,relu,0.6795187969924811
18,sgd,0.0001,2000,relu,0.6549568480300187
18,sgd,0.0001,2500,relu,0.7149643527204503
18,sgd,0.0001,3000,relu,0.65
18,sgd,0.001,1000,relu,0.74
18,sgd,0.001,1500,relu,0.64989498949895
18,sgd,0.001,2000,relu,0.6699009108197379
18,sgd,0.001,2500,relu,0.6846449059345173
18,sgd,0.001,3000,relu,0.6491569650742673
18,sgd,0.01,1000,relu,0.6749593739843496
18,sgd,0.01,1500,relu,0.6750243756093903
18,sgd,0.01,2000,relu,0.64
18,sgd,0.01,2500,relu,0.7000300030003
18,sgd,0.01,3000,relu,0.7195789473684209
18,sgd,0.1,1000,relu,0.72
18,sgd,0.1,1500,relu,0.7049631240781019
18,sgd,0.1,2000,relu,0.6748291657280169
18,sgd,0.1,2500,relu,0.6950228755718894
18,sgd,0.1,3000,relu,0.7
59,adam,0.0001,1000,relu,0.6400360036003601
59,adam,0.0001,1500,relu,0.704430401965947
59,adam,0.0001,2000,relu,0.6500350035003502
59,adam,0.0001,2500,relu,0.764546252413551
59,adam,0.0001,3000,relu,0.6899069162246022
59,adam,0.001,1000,relu,0.6649580988117575
59,adam,0.001,1500,relu,0.6549568739218481
59,adam,0.001,2000,relu,0.6692051384985949
59,adam,0.001,2500,relu,0.72002800280028
59,adam,0.001,3000,relu,0.6848344221671547
59,adam,0.01,1000,relu,0.6999099189270344
59,adam,0.01,1500,relu,0.674959349593496
59,adam,0.01,2000,relu,0.74
59,adam,0.01,2500,relu,0.6999099189270344
59,adam,0.01,3000,relu,0.7150213798104573
59,adam,0.1,1000,relu,0.71
59,adam,0.1,1500,relu,0.7300270027002701
59,adam,0.1,2000,relu,0.6749593739843496
59,adam,0.1,2500,relu,0.714449710373881
59,adam,0.1,3000,relu,0.7496240601503759
59,sgd,0.0001,1000,relu,0.7297836538461538
59,sgd,0.0001,1500,relu,0.6892533119229225
59,sgd,0.0001,2000,relu,0.69
59,sgd,0.0001,2500,relu,0.6949618511569731
59,sgd,0.0001,3000,relu,0.7050221255531389
59,sgd,0.001,1000,relu,0.7050221255531389
59,sgd,0.001,1500,relu,0.6949618740468512
59,sgd,0.001,2000,relu,0.6597275641025641
59,sgd,0.001,2500,relu,0.6949618511569731
59,sgd,0.001,3000,relu,0.714449710373881
59,sgd,0.01,1000,relu,0.7349668542839274
59,sgd,0.01,1500,relu,0.7248554479237066
59,sgd,0.01,2000,relu,0.6849606003752345
59,sgd,0.01,2500,relu,0.7197759103641457
59,sgd,0.01,3000,relu,0.7000300030003
59,sgd,0.1,1000,relu,0.6900310031003098
59,sgd,0.1,1500,relu,0.694656178761993
59,sgd,0.1,2000,relu,0.72
59,sgd,0.1,2500,relu,0.7146787244169442
59,sgd,0.1,3000,relu,0.7148501914845685
