,,,Classificadores (5),Classificadores (10),Classificadores (15),Classificadores (20)
1,PCA_075_HOG_256_32x32,10-fold CV,0.7059,0.706,0.7042,0.7141
1,PCA_075_HOG_256_32x32,70/30,0.7128,0.6998,0.7035,0.6992
2,PCA_075_HOG_128_16x16,10-fold CV,0.7195,0.7082,0.722,0.717
2,PCA_075_HOG_128_16x16,70/30,0.6581,0.6663,0.6655,0.6534
3,PCA_090_HOG_256_32x32,10-fold CV,0.6972,0.6908,0.7013,0.7024
3,PCA_090_HOG_256_32x32,70/30,0.7241,0.6956,0.7374,0.7281
4,HOG_256_32x32,10-fold CV,0.7142,0.7204,0.7244,0.7256
4,HOG_256_32x32,70/30,0.729,0.7207,0.7292,0.7375
5,PCA_090_HOG_128_16x16,10-fold CV,0.6929,0.685,0.7059,0.7095
5,PCA_090_HOG_128_16x16,70/30,0.6101,0.6515,0.6568,0.652
6,PCA_075_HOG_128_32x32,10-fold CV,0.6602,0.6605,0.6669,0.6709
6,PCA_075_HOG_128_32x32,70/30,0.6979,0.6952,0.6866,0.7117
7,PCA_090_HOG_128_32x32,10-fold CV,0.6744,0.6632,0.6857,0.6999
7,PCA_090_HOG_128_32x32,70/30,0.7078,0.6667,0.6792,0.6916
8,HOG_128_16x16,10-fold CV,0.7008,0.7088,0.717,0.7169
8,HOG_128_16x16,70/30,0.6916,0.6999,0.7249,0.7375
9,HOG_128_32x32,10-fold CV,0.6761,0.6929,0.6883,0.687
9,HOG_128_32x32,70/30,0.6987,0.6992,0.7162,0.708
10,LBP_256_6R,10-fold CV,0.578,0.5888,0.5836,0.5836
10,LBP_256_6R,70/30,0.5859,0.5912,0.595,0.595
11,PCA_075_HOG_256_16x16,10-fold CV,0.6237,0.6639,0.6757,0.6765
11,PCA_075_HOG_256_16x16,70/30,0.6125,0.6126,0.639,0.6229
12,LBP_256_12R,10-fold CV,0.5596,0.5665,0.5783,0.5745
12,LBP_256_12R,70/30,0.5898,0.5652,0.563,0.5675
,Média =>,,0.6675333333333334,0.6674541666666666,0.6770666666666667,0.6784291666666666
,Desv. Pad. =>,,0.05233084273589787,0.04784775656152559,0.05086944642622077,0.05279174407758872
